Symbol,CompanyName
AMBUJACEM,Ambuja Cements Ltd.
HYUNDAI,HYUNDAI MOTOR INDIA LIMITED
HDFCLIFE,HDFC LIFE INSURANCE COMPANY LIMITED
RECLTD,REC LIMITED
DIVISLAB,Divi's Laboratories Ltd.
GAIL,Gail (India) Ltd.
BPCL,Bharat Petroleum Corpn. Ltd.
TATAPOWER,Tata Power Co. Ltd
GODREJCP,Godrej Consumer Products Ltd.
BRITANNIA,Britannia Industries Ltd.
EICHERMOT,Eicher Motors Ltd.
MOTHERSON,Samvardhana Motherson International Limited
LODHA,Macrotech Developers Limited
BANKBARODA,Bank Of Baroda
CIPLA,Cipla Ltd.
JSWENERGY,JSW Energy Limited
TVSMOTOR,TVS Motor Company Ltd.
PNB,Punjab National Bank
SHRIRAMFIN,Shriram Finance Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd
BAJAJHFL,Bajaj Housing Finance Limited
SWIGGY ,SWIGGY LIMITED
BAJAJHLDNG,Bajaj Holdings & Investment Limited
NTPCGREEN,NTPC GREEN ENERGY LIMITED
HAVELLS,Havells India Limited
ADANIENSOL,Adani Energy Solutions Limited
CGPOWER,CG Power and Industrial Solutions Limited
TORNTPHARM,Torrent Pharmaceuticals Ltd.
DRREDDY,Dr. Reddy's Laboratories Ltd.
IOB,Indian Overseas Bank
ZYDUSLIFE,Zydus Lifesciences Limited
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED
UNITDSPR,United Spirits Limited
RVNL,Rail Vikas Nigam Limited
HEROMOTOCO,Hero MotoCorp Limited
DABUR,Dabur India Ltd.
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
BOSCHLTD,Bosch Ltd
POLYCAB,Polycab India Limited
INDUSTOWER,INDUS TOWERS LIMITED
CUMMINSIND,Cummins India Ltd.
NAUKRI,Info Edge(India) Ltd.
INDHOTEL,Indian Hotels Co. Ltd
APOLLOHOSP,Apollo Hospitals Enterprises Ltd.
MANKIND,Mankind Pharma Limited
ICICIGI,ICICI Lombard General Insurance Company Limited 
OFSS,Oracle Financial Services Software Limited
INDUSINDBK,IndusInd Bank Ltd.
JINDALSTEL,Jindal Steel & Power Ltd
SOLARINDS,Solar Industries India Limited
CANBK,Canara Bank
LUPIN,Lupin Ltd
MAXHEALTH,Max Healthcare Institute Limited
SUZLON,SUZLON ENERGY LTD.
BHEL,Bharat Heavy Electricals Ltd.
UNIONBANK,Union Bank of India
SHREECEM,Shree Cements Ltd.
IDBI,IDBI Bank Ltd
NHPC,NHPC Limited
HDFCAMC,HDFC Asset Management Company Limited
MAZDOCK,Mazagon Dock Shipbuilders Limited
OIL,Oil India Limited
COLPAL,Colgate-Palmolive (India) Ltd.
ATGL,ADANI TOTAL GAS LIMITED
DIXON,Dixon Technologies (India) Limited
MARICO,Marico Limited
GMRAIRPORT,GMR Airports Limited
PERSISTENT,Persistent Systems Limited
HINDPETRO,Hindustan Petroleum Corporation Ltd
GODREJPROP,Godrej Properties Limited
WAAREEENER,Waaree Energies Limited
TORNTPOWER,TORRENT POWER LIMITED
AUROPHARMA,Aurobindo Pharma Ltd.
IDEA,VODAFONE IDEA LIMITED
POLICYBZR,PB Fintech Limited
TIINDIA,Tube Investments of India Ltd
MUTHOOTFIN,MUTHOOT FINANCE LIMITED
INDIANB,Indian Bank
PRESTIGE,Prestige Estates Projects Limited
IRCTC,Indian Railway Catering & Tourism Corporation Ltd
SRF,SRF Ltd.
YESBANK,Yes Bank Ltd.
BHARATFORG,Bharat Forge Ltd
GICRE,General Insurance Corporation of India
OBEROIRLTY,OBEROI REALTY LIMITED
SBICARD,SBI CARDS AND PAYMENT SERVICES LIMITED
ASHOKLEY,Ashok Leyland Ltd.
ALKEM,Alkem Laboratories Limited
JSWINFRA,JSW Infrastructure Limited
KALYANKJIL,Kalyan Jewellers India Limited
NMDC,NMDC Ltd
BHARTIHEXA,Bharti Hexacom Limited
PIIND,PI Industries Limited
SUPREMEIND,Supreme Industries Ltd.
LINDEINDIA,Linde India Limited
PATANJALI,Patanjali Foods Limited
BERGEPAINT,Berger Paints India Ltd
FACT,Fertilizers and Chemicals Travancore Limited
PHOENIXLTD,The Phoenix Mills Ltd.
IREDA,Indian Renewable Energy Development Agency Limited
ABBOTINDIA,Abbott India Ltd.
JSL,Jindal Stainless Limited
UNOMINDA,UNO Minda Limited
SCHAEFFLER,Schaeffler India Limited
UCOBANK,UCO Bank
THERMAX,Thermax Ltd.
BALKRISIND,Balkrishna Industries Ltd.
VOLTAS,Voltas Ltd.
MRF,M.R.F. Ltd.
MPHASIS,Mphasis Limited
CONCOR,Container Corporation Of India Ltd.
ABCAPITAL,Aditya Birla Capital Ltd
LTTS,L&T Technology Services Limited
POWERINDIA,HITACHI ENERGY INDIA LIMITED
SAIL,Steel Authority of India Ltd.
TATACOMM,Tata Communications Limited
NYKAA,FSN E-Commerce Ventures Limited
UBL,United Breweries Ltd.
PGHH,Procter & Gamble Hygiene & Health Care Ltd.
ASTRAL,ASTRAL LIMITED
IDFCFIRSTB,IDFC FIRST BANK LIMITED
PETRONET,PETRONET LNG LTD.
BANKINDIA,Bank of India
HUDCO,Housing &Urban Development Corporation Ltd.
PREMIERENE,Premier Energies Limited
CENTRALBK,Central Bank of India
,BSE Ltd.
SUNDARMFIN,SUNDARAM FINANCE LTD
COROMANDEL,Coromandel International Limited
SJVN,SJVN LIMITED
COCHINSHIP,Cochin Shipyard Limited
FEDERALBNK,Federal Bank Ltd.
PAGEIND,Page Industries Ltd.
COFORGE,COFORGE LIMITED
AUBANK,AU Small Finance Bank Limited
VMM,Vishal Mega Mart Limited
MOTILALOFS,Motilal Oswal Financial Services Limited
LLOYDSME,Lloyds Metals and Energy Limited
BDL,Bharat Dynamics Limited
KPITTECH,KPIT Technologies Ltd
TATAELXSI,Tata Elxsi Ltd
GVTD,GE Vernova T&D India Limited
GLENMARK,Glenmark Pharmaceuticals ltd
GLAXO,GlaxoSmithkline Pharmaceuticals Ltd.
ACC,ACC Ltd
FORTIS,Fortis Healthcare Ltd
PAYTM,One 97 Communications Limited
AWL,Adani Wilmar Limited
NAM-INDIA,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED
UPL,UPL Limited
HONAUT,Honeywell Automation India Ltd.
MAHABANK,Bank of maharashtra
OLAELEC,Ola Electric Mobility Limited
FLUOROCHEM,Gujarat Fluorochemicals Limited
BIOCON,Biocon Ltd.
ESCORTS,Escorts Kubota Limited
JUBLFOOD,Jubilant Foodworks Limited
APLAPOLLO,APL Apollo Tubes Limited
EXIDEIND,Exide Industries Ltd.
SONACOMS,Sona BLW Precision Forgings Limited
TATATECH,Tata Technologies Limited
LTF,L&T Finance Limited
GUJGASLTD,Gujarat Gas Limited
360ONE,360 ONE WAM LIMITED
3MINDIA,3M India Ltd.
MFSL,Max Financial Services Limited
KEI,KEI Industries Ltd.
DEEPAKNTR,Deepak Nitrite Limited
AIAENG,AIA Engineering Ltd.
NATIONALUM,National Aluminium Co. Ltd.
BLUESTARCO,Blue Star Ltd
NIACL,The New India Assurance Company Limited
PSB,PUNJAB & SIND BANK
APARINDS,Apar Industries Ltd
IPCALAB,Ipca Laboratories Ltd.
AJANTPHARM,Ajanta Pharma Ltd.
LICHSGFIN,Lic Housing Finance Ltd.
NLCINDIA,NLC India Limited
M&MFIN,Mahindra & Mahindra Financial Services Limited
IRB,IRB Infrastructure Developers Limited
CRISIL,CRISIL Ltd.
GODREJIND,Godrej Industries Ltd.
DALBHARAT,DALMIA BHARAT LIMITED
SYNGENE,Syngene International Limited
ENDURANCE,Endurance Technologies Limited
METROBRAND,Metro Brands Limited
JKCEMENT,J.K. CEMENT LTD
KAYNES,KAYNES TECHNOLOGY INDIA LIMITED
TATAINVEST,Tata Investment Corporation Ltd.
IKS ,INVENTURUS KNOWLEDGE SOLUTIONS LIMITED
IGL,Indraprashtha Gas Ltd.
ABFRL,Aditya Birla Fashion and Retail Limited
APOLLOTYRE,Apollo Tyres Ltd
FIRSTCRY,Brainbees Solutions Limited
STARHEALTH,Star Health and Allied Insurance Company Limited
GODIGIT,Go Digit General Insurance Limited
MRPL,Mangalore Refinery & Petrochemicals
EMAMILTD,Emami Ltd
KPRMILL,K.P.R. Mill Ltd.
CHOLAHLDNG,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED
SUNTV,SUN TV NETWORK LIMITED
,Central Depository Services (India) Ltd.
BANDHANBNK,Bandhan Bank Limited
MANYAVAR,Vedant Fashions Limited
GLAND, Gland Pharma Limited
GODFRYPHLP,Godfrey Phillips India Ltd.
MEDANTA,Global Health Limited
MSUMI,Motherson Sumi Wiring India Limited
BRIGADE,Brigade Enterprises Limited
NBCC,NBCC (India) Limited
HINDCOPPER,Hindustan Copper Ltd.
POONAWALLA,POONAWALLA FINCORP LIMITED
PPLPHARMA,PIRAMAL PHARMA LIMITED
SUVENPHAR,SUVEN PHARMACEUTICALS LIMITED
DELHIVERY,Delhivery Limited
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Lt
GILLETTE,Gillette India Ltd.
BAYERCROP,Bayer CropScience Limited.
CARBORUNIV,Carborundum Universal Ltd.
ABREL,ADITYA BIRLA REAL ESTATE LIMITED
BASF,BASF India Ltd
MCX,Multi Commodity Exchange of India Ltd
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited
AEGISLOG,Aegis Logistics Ltd.
ITI,ITI Limited (Indian Teleph.Ind.Ltd)
RADICO,Radico Khaitan Ltd.
SUNDRMFAST,Sundram Fasteners Ltd.
TIMKEN,Timken India Ltd
TATACHEM,Tata Chemicals Ltd
CROMPTON,Crompton Greaves Consumer Electricals Limited
ISEC,ICICI Securities Limited
JYOTICNC,Jyoti CNC Automation Limited
SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED
LALPATHLAB,Dr. Lal Pathlabs Limited
INOXWIND,Inox Wind Limited
HSCL,Himadri Speciality Chemical Ltd.
LAURUSLABS,Laurus Labs Limited
EMCURE,Emcure Pharmaceuticals Limited
TVSHLTD,TVS Holdings Limited
GRINDWELL,Grindwell Norton Ltd.
AIIL,Authum Investment & Infrastructure Limited
WHIRLPOOL,Whirlpool of India Ltd
SKFINDIA,SKF India Ltd.
ARE&M,Amara Raja Energy & Mobility Limited
HATSUN,Hatsun Agro Products Ltd.
NH,Narayana Hrudayalaya Limited
KEC,KEC International Ltd.
NATCOPHARM,Natco Pharma Ltd.
RATNAMANI,Ratnamani Metals & Tubes Ltd
PFIZER,Pfizer Ltd.
EIHOTEL,EIH Ltd
CESC,CESC Limited
POLYMED,Poly Medicure Ltd
KIOCL,KIOCL Limited
PEL,Piramal Enterprises Limited
ANGELONE,ANGEL ONE LIMITED
PNBHOUSING,PNB Housing Finance Limited
IGIL,International Gemmological Institute India Limited
CASTROLIND,Castrol India Ltd
KANSAINER,Kansai Nerolac Paints
JWL,JUPITER WAGONS LIMITED
NUVAMA,Nuvama Wealth Management Limited
IRCON,IRCON International Ltd
TRITURBINE,Triveni Turbine Limited
SHYAMMETL,Shyam Metalics and Energy Limited
ANANTRAJ,Anant Raj Limited
FSL,Firstsource Solutions Ltd.
ATUL,Atul Limited.
CAMS,Computer Age Management Services Limited
AFFLE,Affle (India) Limited
TEJASNET,Tejas Networks Limited
FIVESTAR,Five-Star Business Finance Ltd.
APLLTD,ALEMBIC PHARMACEUTICALS LIMITED
ABSLAMC,Aditya Birla Sun Life AMC Limited
JBMA,JBM Auto Limited
KAJARIACER,Kajaria Ceramics Ltd
DEVYANI,Devyani International Limited
GRSE,Garden Reach Shipbuilders & Engineers Limited
CYIENT,Cyient Limited
KPIL,KALPATARU PROJECTS INTERNATIONAL LIMITED
FINCABLES,Finolex Cables Ltd.
GSPL,Gujarat State Petronet Ltd.
ELGIEQUIP,Elgi Equipments Ltd.
KIMS,Krishna Institute of Medical Sciences Limited
ASTERDM,Aster DM Healthcare Limited
RAMCOCEM,The Ramco Cements Limited
JINDALSAW,Jindal Saw Ltd.
BIKAJI,Bikaji Foods International Limited
AARTIIND,Aarti Industries Ltd
CIEINDIA,CIE Automotive India Limited
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd
VINATIORGA,Vinati Organics Ltd.
SIGNATURE,SIGNATUREGLOBAL (INDIA) LIMITED
SWANENERGY,Swan Energy Ltd.
CONCORDBIO,Concord Biotech Limited
NCC,NCC Limited
VGUARD,V-Guard Industries Ltd.
PTCIL,PTC Industries Ltd.
SCHNEIDER,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED
IIFL,IIFL FINANCE LIMITED 
RELAXO,Relaxo Footwears Ltd.
HFCL,HFCL LIMITED
CELLO,Cello World Limited
BLUEDART,Blue Dart Express Ltd.
CHALET,Chalet Hotels Limited
AADHARHFC,Aadhar Housing Finance Limited
WELCORP,Welspun Corp Limited
AFCONS,Afcons Infrastructure Limited
TBOTEK,TBO TEK LIMITED
BATAINDIA,Bata India Limited
RRKABEL,R R KABEL LIMITED
TRIDENT,Trident Ltd
SAGILITY,Sagility India Limited
JYOTHYLAB,JYOTHY LABS LIMITED
FINPIPE,Finolex Industries Ltd.
TECHNOE,Techno Electric & Engineering Company Limited
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED
SOBHA,Sobha Limited
GESHIP,Great Eastern Shipping Co. Ltd.
SONATSOFTW,Sonata Software Ltd.
CREDITACC,CreditAccess Grameen Ltd.
KFINTECH,KFin Technologies Limited
IDFC,IDFC LIMITED
ERIS,Eris Lifesciences Limited
AMBER,Amber Enterprises India Limited
KARURVYSYA,Karur Vysya Bank Ltd.
JAIBALAJI,Jai Balaji Industries Limited
CENTURYPLY,Century Plyboards (India) Ltd.
KIRLOSENG,Kirloskar Oil Engines Limited
IFCI,IFCI Ltd.
ASTRAZEN,AstraZeneca Pharma India Ltd.
LMW,LMW Limited
BBTC,Bombay Burmah Trading Corpn. Ltd.
BEML,BEML Ltd
BSOFT,BIRLASOFT LIMITED
RKFORGE,ramkrishna forgings Ltd.
DCMSHRIRAM,DCM Shriram Limited
NAVINFLUOR,Navin Fluorine International Limited
WOCKPHARMA,Wockhardt Ltd
ASAHIINDIA,Asahi India Glass Ltd.
IEX,Indian Energy Exchange Limited
CGCL,Capri Global Capital Limited
ZENSARTECH,Zensar Technologies Ltd.
HBLENGINE,HBL ENGINEERING LIMITED
NEWGEN,Newgen Software Technologies Limited
WAAREERTL,WAAREE RENEWABLE TECHNOLOGIES LIMITED
VENTIVE,Ventive Hospitality Limited
APTUS,Aptus Value Housing Finance India Limited
BLS,BLS International Services Ltd
ANANDRATHI,Anand Rathi Wealth Limited
JUBLPHARMA,JUBILANT PHARMOVA LIMITED
TTML,Tata Teleservices (Maharashtra) Ltd.
WELSPUNLIV,WELSPUN LIVING LIMITED
NEULANDLAB,Neuland Laboratories Limited.
INDIAMART,IndiaMART InterMESH Limited
PCBL,PCBL LIMITED
ACE,Action Construction Equipments Ltd.
AKZOINDIA,Akzo Nobel India Limited
MANAPPURAM,Manappuram Finance Limited
MGL,Mahanagar Gas Limited
PGEL,PG Electroplast Limited
KIRLOSBROS,Kirloskar Brothers Ltd.
DOMS,DOMS Industries Limited
CLEAN,Clean Science and Technology Limited
FINEORG,Fine Organic Industries Limited
GRINFRA,G R Infraprojects Limited
ZENTEC,Zen Technologies Ltd.
ACMESOLAR,ACME Solar Holdings Limited
RITES,RITES Limited
REDINGTON,Redington Limited
SAILIFE,Sai Life Sciences Limited
KSB,KSB LIMITED
UTIAMC,UTI Asset Management Company Limited
SANOFI,Sanofi India Ltd
SPLPETRO,Supreme Petrochem Ltd.
DATAPATTNS ,Data Patterns (India) Limited
NSLNISP,NMDC Steel Limited
INDGN,Indegene Limited
GODREJAGRO,Godrej Agrovet Limited
PVRINOX,PVR INOX LIMITED
RPOWER,Reliance Power Limited
NIVABUPA,NIVA BUPA HEALTH INSURANCE COMPANY LIMITED
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED
EIDPARRY,E.I.D. Parry (India) Ltd.
NAVA,NAVA LIMITED
CAPLIPOINT,Caplin Point Laboratories Ltd.
GRAVITA,GRAVITA INDIA LIMITED
RAILTEL,RailTel Corporation of India Limited
VTL,Vardhman Textiles Limted
GRANULES,Granules India Ltd.
ECLERX,eClerx Services Limited
SWSOLAR,STERLING AND WILSON RENEWABLE ENERGY LIMITED
RAINBOW,Rainbow Children's Medicare Limited
ELECON,Elecon Engineering Co.Ltd.
SARDAEN,Sarda Energy & Minerals Ltd
GPIL,GODAWARI POWER AND ISPAT LTD.
PRAJIND,Praj Industries Ltd.
AAVAS,AAVAS Financiers Limited
DEEPAKFERT,Deepak Fertilizers &Petrochemicals
RAYMONDLSL,Raymond Lifestyle Limited
INGERRAND,Ingersoll-Rand (India) Ltd.
OLECTRA,OLECTRA GREENTECH LIMITED
ZYDUSWELL,Zydus Wellness Limited
HONASA,Honasa Consumer Limited
MMTC,MMTC Ltd.
CRAFTSMAN,Craftsman Automation Limited
IWEL,Inox Wind Energy Limited
ZEEL,Zee Entertainment Enterprises Ltd.
WESTLIFE,WESTLIFE FOODWORLD LIMITED
LTFOODS,LT Foods Limited
GLS,Glenmark Life Sciences Limited
JPPOWER,Jaiprakash Power Ventures Limited
MINDACORP,Minda Corporation Limited
INTELLECT,INTELLECT DESIGN ARENA LIMITED
CUB,City Union Bank Ltd
NUVOCO,Nuvoco Vistas Corporation Limited
CHENNPETRO,Chennai Petroleum Corporation Ltd.
AKUMS,Akums Drugs and Pharmaceuticals Limited
VOLTAMP,VOLTAMP TRANSFORMERS LIMITED
TARIL,Transformers and Rectifiers (India) Limited
TTKPRESTIG,TTK Prestige Ltd.
GENUSPOWER,Genus Power Infrastructures Ltd
ALOKINDS,Alok Industries Ltd.
RBLBANK,RBL Bank Limited
ENGINERSIN,Engineers India Ltd.
RHIM,RHI MAGNESITA INDIA LIMITED
MARKSANS,Marksans Pharma Ltd.
RAYMOND,Raymond Limited
HAPPSTMNDS,Happiest Minds Technologies Limited
TEGA,Tega Industries Limited
AETHER,Aether Industries Limited
JMFINANCIL,JM Financial Limited
SAFARI,Safari Industries (India) Ltd.
CEATLTD,Ceat Ltd.
SCI,Shipping Corporation Of India Ltd
GMDCLTD,Gujarat Mineral Development Corpora
SAMMAANCAP,Sammaan Capital Limited
J&KBANK,Jammu and Kashmir Bank Ltd.
MAHSCOOTER,Maharashtra Scooters Ltd.
USHAMART,Usha Martin Ltd.
TANLA,TANLA PLATFORMS LIMITED
ELECTCAST,Electrosteel Castings Ltd.
SANOFICONR,Sanofi Consumer Healthcare India Limited
BALRAMCHIN,Balrampur Chini Mills Ltd.
CANFINHOME,Can Fin Homes Ltd.
JUBLINGREA,Jubilant Ingrevia Limited
JSWHL,JSW Holdings Limited
MAPMYINDIA,C.E. Info Systems Limited
INDIACEM,India Cements Ltd.
KPIGREEN,KPI Green Energy Limited
REDTAPE,REDTAPE Limited
HAPPYFORGE,Happy Forgings Limited
JKTYRE,JK Tyre & Industries Ltd.
METROPOLIS,Metropolis Healthcare Limited
INOXINDIA,INOX India Limited
EUREKAFORB,Eureka Forbes Limited
CERA,Cera Sanitaryware Ltd.
ALKYLAMINE,Alkyl Amines Chemicals Ltd.
VESUVIUS,Vesuvius India Ltd.
BENGALASM,Bengal & Assam Company Limited
QUESS,Quess Corp Limited
PRUDENT,Prudent Corporate Advisory Services Limited
BAJAJELEC,Bajaj Electricals Ltd.
GRAPHITE,Graphite India Ltd.
PNCINFRA,PNC Infratech Limited
LEMONTREE,Lemon Tree Hotels Limited
SAPPHIRE,Sapphire Foods India Limited
ISGEC,ISGEC Heavy Engineering Limited
