Symbol,CompanyName
LAURUSLABS,Laurus Labs Limited
EMCURE,Emcure Pharmaceuticals Limited
TVSHLTD,TVS Holdings Limited
GRINDWELL,Grindwell Norton Ltd.
AIIL,Authum Investment & Infrastructure Limited
WHIRLPOOL,Whirlpool of India Ltd
SKFINDIA,SKF India Ltd.
ARE&M,Amara Raja Energy & Mobility Limited
HATSUN,Hatsun Agro Products Ltd.
NH,Narayana Hrudayalaya Limited
KEC,KEC International Ltd.
NATCOPHARM,Natco Pharma Ltd.
RATNAMANI,Ratnamani Metals & Tubes Ltd
PFIZER,Pfizer Ltd.
EIHOTEL,EIH Ltd
CESC,CESC Limited
POLYMED,Poly Medicure Ltd
KIOCL,KIOCL Limited
PEL,Piramal Enterprises Limited
ANGELONE,ANGEL ONE LIMITED
PNBHOUSING,PNB Housing Finance Limited
IGIL,International Gemmological Institute India Limited
CASTROLIND,Castrol India Ltd
KANSAINER,Kansai Nerolac Paints
JWL,JUPITER WAGONS LIMITED
NUVAMA,Nuvama Wealth Management Limited
IRCON,IRCON International Ltd
TRITURBINE,Triveni Turbine Limited
SHYAMMETL,Shyam Metalics and Energy Limited
ANANTRAJ,Anant Raj Limited
FSL,Firstsource Solutions Ltd.
ATUL,Atul Limited.
CAMS,Computer Age Management Services Limited
AFFLE,Affle (India) Limited
TEJASNET,Tejas Networks Limited
FIVESTAR,Five-Star Business Finance Ltd.
APLLTD,ALEMBIC PHARMACEUTICALS LIMITED
ABSLAMC,Aditya Birla Sun Life AMC Limited
JBMA,JBM Auto Limited
KAJARIACER,Kajaria Ceramics Ltd
DEVYANI,Devyani International Limited
GRSE,Garden Reach Shipbuilders & Engineers Limited
CYIENT,Cyient Limited
KPIL,KALPATARU PROJECTS INTERNATIONAL LIMITED
FINCABLES,Finolex Cables Ltd.
GSPL,Gujarat State Petronet Ltd.
ELGIEQUIP,Elgi Equipments Ltd.
KIMS,Krishna Institute of Medical Sciences Limited
ASTERDM,Aster DM Healthcare Limited
RAMCOCEM,The Ramco Cements Limited
JINDALSAW,Jindal Saw Ltd.
BIKAJI,Bikaji Foods International Limited
AARTIIND,Aarti Industries Ltd
CIEINDIA,CIE Automotive India Limited
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd
VINATIORGA,Vinati Organics Ltd.
SIGNATURE,SIGNATUREGLOBAL (INDIA) LIMITED
SWANENERGY,Swan Energy Ltd.
CONCORDBIO,Concord Biotech Limited
NCC,NCC Limited
VGUARD,V-Guard Industries Ltd.
PTCIL,PTC Industries Ltd.
SCHNEIDER,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED
IIFL,IIFL FINANCE LIMITED 
RELAXO,Relaxo Footwears Ltd.
HFCL,HFCL LIMITED
CELLO,Cello World Limited
BLUEDART,Blue Dart Express Ltd.
CHALET,Chalet Hotels Limited
AADHARHFC,Aadhar Housing Finance Limited
WELCORP,Welspun Corp Limited
AFCONS,Afcons Infrastructure Limited
TBOTEK,TBO TEK LIMITED
BATAINDIA,Bata India Limited
RRKABEL,R R KABEL LIMITED
TRIDENT,Trident Ltd
SAGILITY,Sagility India Limited
JYOTHYLAB,JYOTHY LABS LIMITED
FINPIPE,Finolex Industries Ltd.
TECHNOE,Techno Electric & Engineering Company Limited
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED
SOBHA,Sobha Limited
GESHIP,Great Eastern Shipping Co. Ltd.
SONATSOFTW,Sonata Software Ltd.
CREDITACC,CreditAccess Grameen Ltd.
KFINTECH,KFin Technologies Limited
IDFC,IDFC LIMITED
ERIS,Eris Lifesciences Limited
AMBER,Amber Enterprises India Limited
KARURVYSYA,Karur Vysya Bank Ltd.
JAIBALAJI,Jai Balaji Industries Limited
CENTURYPLY,Century Plyboards (India) Ltd.
KIRLOSENG,Kirloskar Oil Engines Limited
IFCI,IFCI Ltd.
ASTRAZEN,AstraZeneca Pharma India Ltd.
LMW,LMW Limited
BBTC,Bombay Burmah Trading Corpn. Ltd.
BEML,BEML Ltd
BSOFT,BIRLASOFT LIMITED
RKFORGE,ramkrishna forgings Ltd.
DCMSHRIRAM,DCM Shriram Limited
NAVINFLUOR,Navin Fluorine International Limited
WOCKPHARMA,Wockhardt Ltd
ASAHIINDIA,Asahi India Glass Ltd.
IEX,Indian Energy Exchange Limited
CGCL,Capri Global Capital Limited
ZENSARTECH,Zensar Technologies Ltd.
HBLENGINE,HBL ENGINEERING LIMITED
NEWGEN,Newgen Software Technologies Limited
WAAREERTL,WAAREE RENEWABLE TECHNOLOGIES LIMITED
VENTIVE,Ventive Hospitality Limited
APTUS,Aptus Value Housing Finance India Limited
BLS,BLS International Services Ltd
ANANDRATHI,Anand Rathi Wealth Limited
JUBLPHARMA,JUBILANT PHARMOVA LIMITED
TTML,Tata Teleservices (Maharashtra) Ltd.
WELSPUNLIV,WELSPUN LIVING LIMITED
NEULANDLAB,Neuland Laboratories Limited.
INDIAMART,IndiaMART InterMESH Limited
PCBL,PCBL LIMITED
ACE,Action Construction Equipments Ltd.
AKZOINDIA,Akzo Nobel India Limited
MANAPPURAM,Manappuram Finance Limited
MGL,Mahanagar Gas Limited
PGEL,PG Electroplast Limited
KIRLOSBROS,Kirloskar Brothers Ltd.
DOMS,DOMS Industries Limited
CLEAN,Clean Science and Technology Limited
FINEORG,Fine Organic Industries Limited
GRINFRA,G R Infraprojects Limited
ZENTEC,Zen Technologies Ltd.
ACMESOLAR,ACME Solar Holdings Limited
RITES,RITES Limited
REDINGTON,Redington Limited
SAILIFE,Sai Life Sciences Limited
KSB,KSB LIMITED
UTIAMC,UTI Asset Management Company Limited
SANOFI,Sanofi India Ltd
SPLPETRO,Supreme Petrochem Ltd.
DATAPATTNS ,Data Patterns (India) Limited
NSLNISP,NMDC Steel Limited
INDGN,Indegene Limited
GODREJAGRO,Godrej Agrovet Limited
PVRINOX,PVR INOX LIMITED
RPOWER,Reliance Power Limited
NIVABUPA,NIVA BUPA HEALTH INSURANCE COMPANY LIMITED
NETWEB,NETWEB TECHNOLOGIES INDIA LIMITED
EIDPARRY,E.I.D. Parry (India) Ltd.
NAVA,NAVA LIMITED
CAPLIPOINT,Caplin Point Laboratories Ltd.
GRAVITA,GRAVITA INDIA LIMITED
RAILTEL,RailTel Corporation of India Limited
VTL,Vardhman Textiles Limted
GRANULES,Granules India Ltd.
ECLERX,eClerx Services Limited
SWSOLAR,STERLING AND WILSON RENEWABLE ENERGY LIMITED
RAINBOW,Rainbow Children's Medicare Limited
ELECON,Elecon Engineering Co.Ltd.
SARDAEN,Sarda Energy & Minerals Ltd
GPIL,GODAWARI POWER AND ISPAT LTD.
PRAJIND,Praj Industries Ltd.
AAVAS,AAVAS Financiers Limited
DEEPAKFERT,Deepak Fertilizers &Petrochemicals
RAYMONDLSL,Raymond Lifestyle Limited
INGERRAND,Ingersoll-Rand (India) Ltd.
OLECTRA,OLECTRA GREENTECH LIMITED
ZYDUSWELL,Zydus Wellness Limited
HONASA,Honasa Consumer Limited
MMTC,MMTC Ltd.
CRAFTSMAN,Craftsman Automation Limited
IWEL,Inox Wind Energy Limited
ZEEL,Zee Entertainment Enterprises Ltd.
WESTLIFE,WESTLIFE FOODWORLD LIMITED
LTFOODS,LT Foods Limited
GLS,Glenmark Life Sciences Limited
JPPOWER,Jaiprakash Power Ventures Limited
MINDACORP,Minda Corporation Limited
INTELLECT,INTELLECT DESIGN ARENA LIMITED
CUB,City Union Bank Ltd
NUVOCO,Nuvoco Vistas Corporation Limited
CHENNPETRO,Chennai Petroleum Corporation Ltd.
AKUMS,Akums Drugs and Pharmaceuticals Limited
VOLTAMP,VOLTAMP TRANSFORMERS LIMITED
TARIL,Transformers and Rectifiers (India) Limited
TTKPRESTIG,TTK Prestige Ltd.
GENUSPOWER,Genus Power Infrastructures Ltd
ALOKINDS,Alok Industries Ltd.
RBLBANK,RBL Bank Limited
ENGINERSIN,Engineers India Ltd.
RHIM,RHI MAGNESITA INDIA LIMITED
MARKSANS,Marksans Pharma Ltd.
RAYMOND,Raymond Limited
HAPPSTMNDS,Happiest Minds Technologies Limited
TEGA,Tega Industries Limited
AETHER,Aether Industries Limited
JMFINANCIL,JM Financial Limited
SAFARI,Safari Industries (India) Ltd.
CEATLTD,Ceat Ltd.
SCI,Shipping Corporation Of India Ltd
GMDCLTD,Gujarat Mineral Development Corpora
SAMMAANCAP,Sammaan Capital Limited
J&KBANK,Jammu and Kashmir Bank Ltd.
MAHSCOOTER,Maharashtra Scooters Ltd.
USHAMART,Usha Martin Ltd.
TANLA,TANLA PLATFORMS LIMITED
ELECTCAST,Electrosteel Castings Ltd.
SANOFICONR,Sanofi Consumer Healthcare India Limited
BALRAMCHIN,Balrampur Chini Mills Ltd.
CANFINHOME,Can Fin Homes Ltd.
JUBLINGREA,Jubilant Ingrevia Limited
JSWHL,JSW Holdings Limited
MAPMYINDIA,C.E. Info Systems Limited
INDIACEM,India Cements Ltd.
KPIGREEN,KPI Green Energy Limited
REDTAPE,REDTAPE Limited
HAPPYFORGE,Happy Forgings Limited
JKTYRE,JK Tyre & Industries Ltd.
METROPOLIS,Metropolis Healthcare Limited
INOXINDIA,INOX India Limited
EUREKAFORB,Eureka Forbes Limited
CERA,Cera Sanitaryware Ltd.
ALKYLAMINE,Alkyl Amines Chemicals Ltd.
VESUVIUS,Vesuvius India Ltd.
BENGALASM,Bengal & Assam Company Limited
QUESS,Quess Corp Limited
PRUDENT,Prudent Corporate Advisory Services Limited
BAJAJELEC,Bajaj Electricals Ltd.
GRAPHITE,Graphite India Ltd.
PNCINFRA,PNC Infratech Limited
LEMONTREE,Lemon Tree Hotels Limited
SAPPHIRE,Sapphire Foods India Limited
ISGEC,ISGEC Heavy Engineering Limited
GALAXYSURF,Galaxy Surfactants Limited
RCF,Rashtriya Chemicals & Fertilizers Limited
RTNINDIA,RATTANINDIA ENTERPRISES LIMITED
PURVA,Puravankara Limited
GPPL,Gujarat Pipavav Port Limited
SYMPHONY,Symphony Limited
KIRLFER,Kirloskar Ferrous Industries Ltd.
BIRLACORPN,Birla Corporation Ltd.
BECTORFOOD,Mrs. Bectors Food Specialities Limited
SAREGAMA,Saregama India Ltd.
DBREALTY,VALOR ESTATE LIMITED
NETWORK18,Network 18 Media & Investments Limited
ARVIND,Arvind Ltd.
THOMASCOOK,Thomas Cook (India) Ltd.
SFL,Sheela Foam Limited
RELINFRA,Reliance Infrastructure Ltd
LATENTVIEW,Latent View Analytics Limited
EDELWEISS,Edelweiss Financial Services Ltd.
ELANTAS,Elantas Beck India Ltd
HOMEFIRST,Home First Finance Company India Limited
PNGJL,P N GADGIL JEWELLERS LIMITED
FORCEMOT,Force Motors Limited
ROUTE,Route Mobile Limited
JUSTDIAL,Just Dial Limited
HGINFRA,H.G. Infra Engineering Limited
IONEXCHANG,Ion Exchange (India) Ltd
RENUKA,Shree Renuka Sugars Ltd.
VIJAYA,Vijaya Diagnostic Centre Limited
JKLAKSHMI,JK Lakshmi Cement Limited
AZAD,Azad Engineering Limited
ESABINDIA,Esab India Ltd.
GNFC,Gujarat Narmada Valley Fert.Co.Ltd
TIPSMUSIC,TIPS MUSIC LIMITED
WABAG,VA Tech Wabag Limited
TRIVENI,Triveni Engineering & Industries Ltd
KNRCON,KNR Constructions Limited
IIFLCAPS,IIFL CAPITAL SERVICES LIMITED
ABDL,Allied Blenders and Distillers Limited
POWERMECH,Power Mech Projects Limited
CHOICEIN,Choice International Ltd
KIRLPNU,Kirloskar Pneumatic Co.Ltd.
AURIONPRO,Aurionpro Solutions Ltd.
CCL,CCL Products (India) Ltd.
SHAKTIPUMP,Shakti Pumps (India) Ltd.
SBFC,SBFC Finance Limited
PRSMJOHNSN,PRISM JOHNSON LIMITED.
JLHL,Jupiter Life Line Hospitals Limited
TEXRAIL,Texmaco Rail & Engineering Limited
CAMPUS,Campus Activewear Limited
ITDCEM,ITD Cementation India Ltd
,Shriram Pistons & Rings Ltd.
 NATIONSTD,National Standard (India) Limited
TIMETECHNO,Time Technoplast Limited
SENCO,Senco Gold Limited
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED
MASTEK,Mastek Limited
RUSTOMJEE,Keystone Realtors Limited
BBOX,BLACK BOX LIMITED
MAXESTATES,Max Estates Limited
RATEGAIN,RateGain Travel Technologies Limited
GSFC,Gujarat State Fertilizers & Chem.Ltd
CMSINFO,CMS Info Systems Limited
VARROC,Varroc Engineering Limited
PGHL,PROCTER & GAMBLE HEALTH LIMITED
MAHSEAMLES,Maharashtra Seamless Ltd.
HEG,HEG Ltd.
RELIGARE,Religare Enterprises Ltd
AVANTIFEED,Avanti Feeds ltd.
EQUITASBNK,Equitas Small Finance Bank Limited
ACI,Archean Chemical Industries Limited
SYRMA,Syrma SGS Technology Limited
BLUEJET,Blue Jet Healthcare Limited
KAMAHOLD,Kama Holdings Limited
SANSERA,Sansera Engineering Limited
ASKAUTOLTD,ASK Automotive Limited
GRWRHITECH,GARWARE HI-TECH FILMS LIMITED
STARCEMENT,Star Cement Limited
FDC,FDC Ltd.
JUNIPER,Juniper Hotels Limited
MEDPLUS,Medplus Health Services Limited
GALLANTT,GALLANTT ISPAT LIMITED
KTKBANK,Karnataka Bank Ltd.
MAHLIFE,Mahindra Lifespace Developers Ltd.
TVSSCS,TVS Supply Chain Solutions Limited
GANESHHOUC,Ganesh Housing Corporation Ltd.
TCI,Transport Corporation of India Ltd
ANURAS,Anupam Rasayan India Limited
GMRP&UI,GMR Power and Urban Infra Limited
SUNTECK,Sunteck Realty Ltd
EMBDL,EQUINOX INDIA DEVELOPMENTS LIMITED
EPIGRAL,Epigral Limited
RTNPOWER,RattanIndia Power Limited
MHRIL,Mahindra Holidays & Resorts India Limited
RAJESHEXPO,Rajesh Exports Ltd.
GARFIBRES,GARWARE TECHNICAL FIBRES LIMITED
JKPAPER,JK Paper Ltd.
SHOPERSTOP,Shoppers Stop Ltd
EPL,EPL LIMITED
MOIL,MOIL Limited
ASTRAMICRO,Astra Microwave Products Ltd.
CHEMPLASTS,Chemplast Sanmar Limited
SANDUMA,Sandur Manganese & Iron Ores Ltd.
LSIND,LS Industries Limited
AHLUCONT,Ahluwalia Contracts (India) Ltd
EMIL,Electronics Mart India Limited
DIACABS,Diamond Power Infrastructure Limited
TV18BRDCST,TV18 Broadcast Ltd.
UJJIVANSFB,Ujjivan Small Finance Bank Limited
INFIBEAM,INFIBEAM AVENUES LIMITED
SHILPAMED,Shilpa Medicare Ltd.
INDIASHLTR,India Shelter Finance Corporation Limited
PARADEEP,Paradeep Phosphates Limited
ETHOSLTD,ETHOS LIMITED
ICIL,Indo Count Industries Ltd
PROTEAN,Protean eGov Technologies Limited
INA,INSOLATION ENERGY LIMITED
VMART,V-Mart Retail Limited
LXCHEM,Laxmi Organic Industries Limited
WELENT,Welspun Enterprises Limited
PDSL,PDS LIMITED
HCC,Hindustan Construction Co. Ltd.
DBL,Dilip Buildcon Limited
MIDHANI,Mishra Dhatu Nigam Limited
 MANINFRA,MAN INFRACONSTRUCTION LIMITED
IFBIND,IFB Industries Limited
DHANUKA,Dhanuka Agritech Ltd.
TRANSRAILL,Transrail Lighting Limited
TMB,Tamilnad Mercantile Bank Limited
ORCHPHARMA,Orchid Pharma Limited
NAZARA,Nazara Technologies Limited
RESPONIND,Responsive Industries Ltd
PICCADIL,Piccadily Agro Industries ltd.
DODLA,Dodla Dairy Limited
ARVINDFASN,Arvind Fashions Limited
BALUFORGE,BALU FORGE INDUSTRIES LIMITED
,Sundaram Finance Holdings Ltd.
INDIGOPNTS,Indigo Paints Limited
BALAMINES,Balaji Amines Ltd.
GREENLAM,Greenlam Industries Ltd
SPARC,Sun Pharma Advanced Research Company Ltd.
TIIL,Technocraft Industries (India) Ltd.
EMUDHRA,eMudhra Limited
SUPRAJIT,Suprajit Engineering Ltd.
JINDWORLD,Jindal Worldwide Ltd.
SUDARSCHEM,Sudarshan Chemical Indus. Ltd.
UNIMECH,Unimech Aerospace and Manufacturing Limited
GABRIEL,Gabriel India Ltd.
ASHOKA,Ashoka Buildcon Limited
KENNAMET,Kennametal India Limtied
VIPIND,V.I.P. Industries Ltd.
SURYAROSNI,Surya Roshni Ltd.
BLACKBUCK,ZINKA LOGISTICS SOLUTIONS LIMITED
KRBL,KRBL Ltd.
GOKEX,Gokaldas Exports Ltd
AMIORG,Ami Organics Limited
NESCO,Nesco Ltd
SHARDAMOTR,Sharda Motor Industries Ltd
KESORAMIND,Kesoram Industries Ltd
BGDL,BHARAT GLOBAL DEVELOPERS LIMITED
HNDFDS,Hindustan Foods Ltd.
ORIENTCEM,ORIENT CEMENT LIMITED
SOUTHBANK,South Indian Bank Ltd.
TARC,TARC LIMITED
BORORENEW,BOROSIL RENEWABLES LIMITED
TDPOWERSYS,TD Power Systems Ltd
EASEMYTRIP,Easy Trip Planners Limited
NIITMTS,NIIT Learning Systems Limited
STAR,STRIDES PHARMA SCIENCE LIMITED
BANSALWIRE,Bansal Wire Industries Limited
RALLIS,Rallis India Ltd
BONDADA,Bondada Engineering Limited
PRIVISCL,PRIVI SPECIALITY CHEMICALS LIMITED
CEIGALL,Ceigall India Limited
JAICORPLTD,Jai Corp Limited
VSTIND,VST Industries Ltd.
SPICEJET,SpiceJet Limited
NFL,National Fertilizers Ltd.
STLTECH,Sterlite Technologies Limited.
ICRA,ICRA Limited
PILANIINVS,Pilani Investment And Industries Corporation Limited
ROLEXRINGS,Rolex Rings Limited
GOCOLORS,Go Fashion (India) Limited
SHAREINDIA,Share India Securities Limited
AVL,Aditya Vision Limited
GULFOILLUB,Gulf Oil Lubricants India Limited
LUXIND,LUX Industries Limited
PCJEWELLER,PC JEWELLER LIMITED
MCLOUD,MAGELLANIC CLOUD LIMITED
GMMPFAUDLR,GMM Pfaudler Ltd.
GAEL,Gujarat Ambuja Exports Ltd.
IXIGO,Le Travenues Technology Limited
AGI,AGI GREENPAC LIMITED
PRINCEPIPE,Prince Pipes and Fittings Limited
PRICOLLTD,Pricol Limited
GHCL,GHCL Ltd.
ALLCARGO,Allcargo Logistics Ltd
JKIL,J. Kumar Infraprojects Limited
ITDC,India Tourism Development Corporati
TI,Tilaknagar Industries Ltd
HCG,HealthCare Global Enterprises Limited
DBCORP,D.B.Corp Limited
SIS,SIS LIMITED
GUJALKALI,Gujarat Alkalis & Chemicals Ltd.
RSYSTEMS,R Systems International Limited
PTC,PTC India Ltd
INOXGREEN,INOX GREEN ENERGY SERVICES LIMITED
LLOYDSENT,LLOYDS ENTERPRISES LIMITED
ENTERO,Entero Healthcare Solutions Limited
SHARDACROP,Sharda Cropchem Limited
UEL,Ujaas Energy Limited
KOVAI,Kovai Medical Center & Hospital Ltd
AARTIPHARM,Aarti Pharmalabs Limited
RAIN,Rain Industries Limited
CSBBANK,CSB Bank Limited
CYIENTDLM,Cyient DLM Limited
THANGAMAYL,Thangamayil Jewellery Limited
BANCOINDIA,Banco Products (India) Ltd.
JSFB,JANA SMALL FINANCE BANK LIMITED
JCHAC,Johnson Controls-Hitachi Air Conditioning India Ltd.
HEMIPROP,Hemisphere Properties India Limited
MTARTECH ,MTAR Technologies Limited
ORIENTELEC,Orient Electric Limited
MANORAMA,Manorama Industries Limited
SKIPPER,Skipper Limited
MSTCLTD,MSTC Limited
PAISALO,PAISALO DIGITAL LIMITED
KIRLOSIND,Kirloskar Industries Ltd
OPTIEMUS,Optiemus Infracom Limited
ANUP,The Anup Engineering Ltd
SHILCTECH,Shilchar Technologies Ltd.
EIEL,ENVIRO INFRA ENGINEERS LIMITED
BBL,Bharat Bijlee Ltd.
MASFIN,MAS Financial Services Limited
DYNAMATECH,Dynamatic Technologies Ltd.
HEIDELBERG,HeidelbergCement  India Limited
ZAGGLE,ZAGGLE PREPAID OCEAN SERVICES LIMITED
HERITGFOOD,Heritage Foods Limited
VAIBHAVGBL,Vaibhav Global Ltd
WPIL,WPIL Ltd
KSCL,Kaveri Seed Company Ltd
TEAMLEASE,TeamLease Services Limited
CARTRADE,CarTrade Tech Limited
